"","name","Outcome","N","25th Percentile","75th Percentile"," Outcome, 75th Percentile v. 25th Percentile"," "," "," "," "," "," "," "," "," "
"1"," "," "," "," "," ","Unadjusted"," "," "," "," ","Adjusted"," "," "," "," "
"2"," "," "," "," "," ","Predicted Outcome at 25th Percentile","Predicted Outcome at 75th Percentile","Coefficient (95% CI)","P-value","FDR adjusted P-value","Predicted Outcome at 25th Percentile","Predicted Outcome at 75th Percentile","Coefficient (95% CI)","P-value","FDR adjusted P-value"
"3","Ln Pro-inflammatory cytokines/IL-10","LAZ Year 2","672","1.52","2.09","-1.33","-1.31","0.02 (-0.11, 0.16)","0.74","0.9","-1.49","-1.51","-0.02 (-0.1, 0.06)","0.64","0.96"
"4","","WAZ Year 2","672","1.52","2.09","-1.45","-1.36","0.09 (-0.08, 0.26)","0.29","0.68","-1.61","-1.6","0.01 (-0.1, 0.12)","0.91","0.99"
"5","","WLZ Year 2","672","1.52","2.09","-0.99","-0.91","0.08 (-0.07, 0.23)","0.3","0.68","-1.16","-1.14","0.02 (-0.1, 0.13)","0.79","0.99"
"6","","HCZ Year 2","671","1.52","2.09","-1.74","-1.8","-0.05 (-0.12, 0.01)","0.09","0.48","-1.66","-1.68","-0.03 (-0.13, 0.07)","0.59","0.95"
"7","","","","","","","","","","","","","","",""
"8","Ln IL-2/IL-10","LAZ Year 2","666","-2.98","-1.64","-1.36","-1.44","-0.08 (-0.33, 0.18)","0.57","0.9","-1.47","-1.48","-0.01 (-0.06, 0.04)","0.72","0.98"
"9","","WAZ Year 2","666","-2.98","-1.64","-1.37","-1.42","-0.05 (-0.13, 0.03)","0.19","0.63","-1.59","-1.62","-0.03 (-0.08, 0.02)","0.26","0.68"
"10","","WLZ Year 2","666","-2.98","-1.64","-0.94","-0.95","-0.01 (-0.1, 0.08)","0.82","0.9","-1.14","-1.16","-0.02 (-0.08, 0.05)","0.64","0.96"
"11","","HCZ Year 2","665","-2.98","-1.64","-1.89","-1.74","0.15 (-0.1, 0.4)","0.25","0.68","-1.7","-1.71","-0.01 (-0.12, 0.11)","0.93","0.99"
"12","","","","","","","","","","","","","","",""
"13","Ln GM-CSF/IL-10","LAZ Year 2","675","1.85","3.19","-1.29","-1.33","-0.03 (-0.14, 0.07)","0.54","0.9","-1.51","-1.46","0.05 (-0.04, 0.15)","0.27","0.69"
"14","","WAZ Year 2","675","1.85","3.19","-1.4","-1.42","-0.02 (-0.12, 0.08)","0.71","0.9","-1.62","-1.59","0.04 (-0.06, 0.13)","0.48","0.9"
"15","","WLZ Year 2","675","1.85","3.19","-0.96","-0.95","0.01 (-0.08, 0.11)","0.81","0.9","-1.16","-1.15","0.01 (-0.07, 0.09)","0.88","0.99"
"16","","HCZ Year 2","674","1.85","3.19","-1.8","-1.75","0.05 (-0.04, 0.15)","0.27","0.68","-1.69","-1.72","-0.03 (-0.18, 0.12)","0.7","0.98"
"17","","","","","","","","","","","","","","",""
"18","Ln Th1/IL-10","LAZ Year 2","675","1.2","1.77","-1.3","-1.31","-0.01 (-0.09, 0.06)","0.72","0.9","-1.47","-1.51","-0.03 (-0.08, 0.01)","0.16","0.53"
"19","","WAZ Year 2","675","1.2","1.77","-1.39","-1.42","-0.03 (-0.11, 0.05)","0.46","0.86","-1.57","-1.64","-0.07 (-0.13, 0)","0.05","0.46"
"20","","WLZ Year 2","675","1.2","1.77","-0.94","-0.97","-0.03 (-0.1, 0.04)","0.4","0.85","-1.13","-1.19","-0.07 (-0.13, 0)","0.05","0.46"
"21","","HCZ Year 2","674","1.2","1.77","-1.77","-1.77","0 (0, 0)","1","1","-1.67","-1.7","-0.04 (-0.09, 0.01)","0.15","0.5"
"22","","","","","","","","","","","","","","",""
